Eliza is walking to Northampton,Noho,True,Amherst,False,False,Jane,0.0,0,0.5
Eliza is walking to Northampton,Amherst,False,Noho,True,False,Jane,0.127920487817,0,0.5
Eliza is walking to Northampton,Noho,False,Amherst,True,False,Sarah,0.140939269638,0,0.5
Eliza is walking to Northampton,Amherst,False,Amherst,True,False,Jane,0.127920487817,0,0.5
Eliza is walking to Northampton,Noho,False,Amherst,True,False,Jane,0.111837726476,0,0.5
Eliza is walking to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,0,0.5
Eliza is walking to Northampton,Amherst,False,Noho,True,False,Sarah,0.119302516068,0,0.5
Eliza is walking to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,0,0.5
Eliza is walking to Northampton,Amherst,False,Noho,False,True,Sarah,0.0,0,0.5
Eliza is walking to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,0,0.5
Eliza is walking to Northampton,Noho,False,Noho,True,False,Jane,0.111837726476,0,0.5
Eliza is walking to Northampton,Amherst,False,Noho,False,True,Jane,0.0,0,0.5
Eliza is walking to Northampton,Noho,False,Noho,True,False,Sarah,0.119302516068,0,0.5
Eliza is walking to Northampton,Amherst,False,Amherst,False,True,Sarah,0.0,0,0.5
Eliza is walking to Northampton,Amherst,True,Amherst,False,False,Sarah,0.0,0,0.5
Eliza is walking to Northampton,Amherst,False,Amherst,True,False,Sarah,0.140939269638,0,0.5
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0.0,0,0.5
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.127920487817,0,0.5
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.140939269638,0,0.5
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.127920487817,0,0.5
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0.111837726476,0,0.5
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,0,0.5
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0.119302516068,0,0.5
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,0,0.5
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0.0,0,0.5
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,0,0.5
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0.111837726476,0,0.5
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0.0,0,0.5
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0.119302516068,0,0.5
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0.0,0,0.5
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0.0,0,0.5
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.140939269638,0,0.5
You are coming to Northampton,Noho,True,Amherst,False,False,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Noho,True,False,Jane,0.0,0,0.5
You are coming to Northampton,Noho,False,Amherst,True,False,Sarah,0.0,0,0.5
You are coming to Northampton,Noho,False,Amherst,True,False,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.0,0,0.5
You are coming to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Noho,False,True,Sarah,1,0,0.5
You are coming to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,0,0.5
You are coming to Northampton,Amherst,False,Amherst,True,False,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Noho,False,True,Jane,0.0,0,0.5
You are coming to Northampton,Noho,False,Noho,True,False,Sarah,0.0,0,0.5
You are coming to Northampton,Noho,False,Noho,True,False,Jane,0.0,0,0.5
You are coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0.0,0,0.5
You are coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0.0,0,0.5
You are coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0.0,0,0.5
I am coming to Northampton,Noho,True,Amherst,False,False,Jane,1,0,0.5
I am coming to Northampton,Amherst,False,Noho,True,False,Jane,0.0,0,0.5
I am coming to Northampton,Noho,False,Amherst,True,False,Sarah,0.0,0,0.5
I am coming to Northampton,Noho,False,Amherst,True,False,Jane,0.0,0,0.5
I am coming to Northampton,Amherst,False,Amherst,False,True,Jane,0.0,0,0.5
I am coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.0,0,0.5
I am coming to Northampton,Amherst,True,Amherst,False,False,Jane,0.0,0,0.5
I am coming to Northampton,Amherst,False,Noho,False,True,Sarah,0.0,0,0.5
I am coming to Northampton,Noho,True,Amherst,False,False,Sarah,0.0,0,0.5
I am coming to Northampton,Amherst,False,Amherst,True,False,Jane,0.0,0,0.5
I am coming to Northampton,Amherst,False,Noho,False,True,Jane,0.0,0,0.5
I am coming to Northampton,Noho,False,Noho,True,False,Sarah,0.0,0,0.5
I am coming to Northampton,Noho,False,Noho,True,False,Jane,0.0,0,0.5
I am coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0.0,0,0.5
I am coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0.0,0,0.5
I am coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0.0,0,0.5
I am walking to Northampton,Noho,True,Amherst,False,False,Jane,0.21439771203,0,0.5
I am walking to Northampton,Amherst,False,Noho,True,False,Jane,0.0,0,0.5
I am walking to Northampton,Noho,False,Amherst,True,False,Sarah,0.0,0,0.5
I am walking to Northampton,Noho,False,Amherst,True,False,Jane,0.0,0,0.5
